es_0,"$0 "
es_1037,"Cuerno revestido de mithril"
es_1038,Bardiche
es_1039,"Lanza orca"
es_1040,"Bill Guisarme"
es_1041,Tridente
es_1042,Partizano
es_1043,Pica
es_1044,Pica
es_1045,Guisarme
es_1046,Alfanje
es_1047,"Lanza elfa"
es_1048,"Cuerno revestido de oricalco"
es_1049,"Lanza de Nestro"
es_1050,Alabarda
es_1051,Alfanje
es_1052,"Lanza de novicio"
es_1053,"Lanza de guerra de pico de cuervo"
es_1054,"Espada corta elfa de la resistencia a la magia"
es_1055,"Espada corta elfa de la destreza"
es_1056,"Bastón de cristal"
es_1057,"Bastón de novicio"
es_1058,"Bastón de Beleth"
es_1059,"Bastón de Baphomet"
es_1060,"Bastón de la hechicería"
es_1061,"Bastón de maná"
es_1062,"Bastón de acero de maná"
es_1063,"Bastón de roble"
es_1064,"Bastón de hechicero"
es_1065,"Bastón de fuerza"
es_1066,Hacha
es_1067,Athame
es_1068,Garrote
es_1069,Mayal
es_1070,Maza
es_1071,"Martillo de guerra"
es_1072,"Hacha de plata"
es_1073,Bardiche
es_1074,"Hacha de batalla de acero fino"
es_1075,"Hacha de berserker"
es_1076,"Estrella de la mañana"
es_1077,"Hacha de novicio"
es_1078,"Gran hacha"
es_1079,"Arco de cazador"
es_1080,"Arco de elfo"
es_1081,"Arco de orco"
es_1082,Arco
es_1083,"Arco corto"
es_1084,"Arco de piedra de novicio"
es_1085,"Arco de novicio"
es_1086,Ballesta
es_1087,Yumi
es_1088,"Ballesta antigua"
es_1089,"Arco de Venti"
es_1090,"Espada corta elfa de poder de hechizo"
es_1091,"Espada corta elfa de la constitución"
es_1092,"Vara de maná (personal)"
es_1093,"Vara de gema (personal)"
es_1094,"Lanza encantada"
es_1095,"Maestro mago"
es_1096,"Hacha de soldado encantada"
es_1097,"Arquero mágico"
es_1098,"Guerrero encantado"
es_1099,"Araña encantada"
es_1100,"Necrófago encantado"
es_1101,"Rey Coco encantado"
es_1102,"Cuerpo podrido"
es_1103,"Ley maldita"
es_1104,"El Plagado"
es_1105,"El Condenado"
es_1106,"Ogro encantado"
es_1107,"Viejo extraño"
es_1108,"Sombra del viejo extraño"
es_1109,"Fantasma desafortunado"
es_1110,"Sombra del fantasma desafortunado"
es_1111,"Araña reina encantada"
es_1112,"Hachero codicioso"
es_1113,"Garra de desastre"
es_1114,"Pecado nauseabundo"
es_1115,"Bafomet encantado"
es_1116,"Pergamino de deformación"
es_1117,"Espada de la esperanza (personal)"
es_1118,"Espada de la esperanza"
es_1119,"Poción de recuperación mágica"
es_1120,"Pergamino de retorno: Mazmorra de Maros 1F (vinculado)"
es_1121,"Pergamino de retorno: Mazmorra de Maros 2F (vinculado)"
es_1122,"Pergamino de retorno: Mazmorra de Maros 3F (vinculado)"
es_1123,"Pergamino de retorno: Mazmorra de Maros 4F (vinculado)"
es_1124,"Pergamino de retorno: Mazmorra de Maros 5F (vinculado)"
es_1125,"Pergamino de retorno: Mazmorra de Maros 6F (vinculado)"
es_1126,"Pergamino de retorno: Mazmorra de Maros 7F (vinculado)"
es_1127,"Huesos de oveja"
es_1128,"Madera seca"
es_1129,"Esencia de harina de hueso"
es_1130,Tótem
es_1131,"Fragmentos del tótem"
es_1132,"Gran calabaza [Halloween]"
es_1133,"Galleta de calabaza [Halloween]"
es_1134,"Tótem de orco"
es_1135,"Piedra élfica"
es_1136,"Dios del agua"
es_1137,"Carta del líder orco"
es_1138,"Antiguo libro de hechizos mágicos de niebla"
es_1139,"Corazón de piedra del hechizo de niebla"
es_1140,"Bendición de la Diosa de la Luna"
es_1141,"Oveja perdida"
es_1142,"Alas élficas robadas"
es_1143,"Gorro de Santa"
es_1144,"Calcetines de Santa"
es_1145,"Regalo de Navidad"
es_1146,"Regalo afortunado de Navidad"
es_1147,"Juramento temporal"
es_1148,"Mapa avanzado del tesoro (Isla Prometida)"
es_1149,NULL
es_1150,NULL
es_1151,NULL
es_1152,NULL
es_1153,"Mapa avanzado del tesoro (Isla Prometida)"
es_1154,"Trozo de mapa avanzado del tesoro I (Isla Prometida)"
es_1155,"Trozo de mapa avanzado del tesoro II (Isla Prometida)"
es_1156,"Trozo de mapa avanzado del tesoro III (Isla Prometida)"
es_1157,"Trozo de mapa avanzado del tesoro IV (Isla Prometida)"
es_1158,NULL
es_1159,NULL
es_1160,NULL
es_1161,NULL
es_1162,NULL
es_1163,NULL
es_1164,NULL
es_1165,NULL
es_1166,NULL
es_1167,NULL
es_1168,NULL
es_1169,NULL
es_1170,NULL
es_1171,NULL
es_1172,NULL
es_1173,NULL
es_1174,NULL
es_1175,NULL
es_1176,NULL
es_1177,NULL
es_1178,NULL
es_1179,NULL
es_1180,NULL
es_1181,NULL
es_1182,"Monarca ungoliant"
es_1183,"Jefe kobold"
es_1184,"Monarca cerbero"
es_1185,"Líder goblin"
es_1186,"Líder hobgoblin"
es_1187,"Esqueleto general de élite"
es_1188,"Esqueleto mago general de élite"
es_1189,"Esqueleto hachero general de élite"
es_1190,"Esqueleto arquero general de élite"
es_1191,"Esqueleto lancero general de élite"
es_1192,"Teniente esqueleto"
es_1193,"Teniente esqueleto mago"
es_1194,"Teniente esqueleto hachero"
es_1195,"Teniente esqueleto arquero"
es_1196,"Teniente esqueleto lancero"
es_1197,"Hombre lobo alfa"
es_1198,"Ojo flotante de élite"
es_1199,"Licántropo alfa"
es_1200,"Líder zombi"
es_1201,"Monarca de Shelob"
es_1202,"Gólem de piedra de élite"
es_1203,"Líder de las ánimas"
es_1204,"Jefe ogro"
es_1205,"Líder necrófago"
es_1206,"Limo de élite"
es_1207,"Jefe ogro"
es_1208,"Jefe mago orco"
es_1209,"Jefe arquero orco"
es_1210,"Jefe luchador orco"
es_1211,"Monarca Thri Keen"
es_1212,"Monarca coco"
es_1213,"Belladona de élite"
es_1214,"Enano de élite"
es_1215,"Enano guerrero de élite"
es_1216,"Mapa del tesoro"
es_1217,"Mapa del tesoro avanzado"
es_1218,"Monarca Lolth"
es_1219,"Teniente drow"
es_1220,"Teniente orco gruñido"
es_1221,"Teniente orco guardia"
es_1222,"Teniente orco ballestero"
es_1223,"Jefe orco chamán"
es_1224,"Jefe orco zombi"
es_1225,"Pergamino de polimorfar nivel 1"
es_1226,"Pergamino de polimorfar nivel 2"
es_1227,"Pergamino de polimorfar nivel 3"
es_1228,"Pergamino de polimorfar nivel 4"
es_1229,"Pergamino de polimorfar nivel 5"
es_1230,"Pergamino de polimorfar nivel 6"
es_1231,"Cristal espiritual"
es_1232,"Cristal Espiritual Especial (Tierra)"
es_1233,"Cristal Espiritual Especial (Agua)"
es_1234,"Cristal Espiritual Especial (Viento)"
es_1235,"Cristal Espiritual Especial (Fuego)"
es_1236,NULL
es_1237,NULL
es_1238,NULL
es_1239,NULL
es_1240,NULL
es_1241,NULL
es_1242,NULL
es_1243,NULL
es_1244,NULL
es_1245,NULL
es_1246,NULL
es_1247,NULL
es_1248,NULL
es_1249,"Pergamino polimórfico avanzado andrajoso(enlazado)"
es_1250,"Pergamino avanzado de deformación (enlazado)"
es_1251,"Esencia de polimorfar"
es_1252,"Aparato mágico de Meilin"
es_1253,NULL
es_1254,NULL
es_1255,vinculado
es_1256,"Hombre lobo sanguinario"
es_1257,"Ogro sanguinario"
es_1258,"Hombre lobo sanguinario alfa"
es_1259,"Jefe Ogro sanguinario"
es_1260,"Escudo de caballero carmesí"
es_1261,"Líder de las Súcubo"
es_1262,"Líder de las Cocatriz"
es_1263,Antiguo
es_1264,Resplandeciente
es_1265,Amy[Moda]
es_1266,Codicioso
es_1267,"[Arena caótica]"
es_1268,[Mercado]
es_1269,"[Conversión de atributos]"
es_1270,"Caja de regalo de crecimiento de personaje"
es_1271,"Piedra sagrada de la Esperanza"
es_1272,"Protección del Templo de Parth"
es_1273,"Anillo de la paz"
es_1274,"Arma poderosa de Zese"
es_1275,"Pergamino de encantamiento de arma (exclusivo de misión)"
es_1276,"Juramento sellado (15 días)"
es_1277,Gloria
es_1278,"Piedra de runa mágica"
es_1279,"Tinte mágico"
es_1280,"Tinte mágico especial"
es_1281,"Depredador malvado"
es_1282,"Arquero esqueleto de la Oscuridad"
es_1283,"Mago Esqueleto de la Oscuridad"
es_1284,"Teniente esqueleto arquero de la Oscuridad"
es_1285,"Teniente esqueleto mago de la Oscuridad"
es_1286,"Sombra sangrienta"
es_1287,"Araña asesina"
es_1288,"Arquero demonio"
es_1289,"Conjunto del caballero rojo"
es_1290,"Conjunto del Caballero de la Muerte"
es_1291,"Conjunto de Bran"
es_1292,"Conjunto de cuero"
es_1293,"Conjunto de los orcos"
es_1294,"Conjunto de los enanos"
es_1295,"Conjunto de cuero con tachuelas"
es_1296,"Conjunto de huesos"
es_1297,"Conjunto de hechicero"
es_1298,"Conjunto de hierro"
es_1299,"Sandalias de cuero con tachuelas"
es_1300,"Gorra de cuero"
es_1301,"Yelmo de cuero"
es_1302,"Visor de hierro"
es_1303,"Capucha de caballero"
es_1304,"Visor de caballero"
es_1305,"Yelmo de hierro de enano"
es_1306,"Viejo yelmo del viento"
es_1307,"Casco del Caballero de la Muerte"
es_1308,"Yelmo de la resistencia a la magia"
es_1309,"Gorra de hechicero"
es_1310,"Yelmo de la magia: Velocidad"
es_1311,"Yelmo de la magia: Curación"
es_1312,"Yelmo de la magia: Poder"
es_1313,"Gorra de Svipdag"
es_1314,Corona
es_1315,"Yelmo elfo de la destreza"
es_1316,"Yelmo de viento"
es_1317,"Yelmo del rey Atila"
es_1318,"Gorra de sauroniano"
es_1319,"Visión nocturna"
es_1320,"Capucha de caballero rojo"
es_1321,"Yelmo de cuero de novicio"
es_1322,"Gorra de Skuld"
es_1323,"Bendición de Elm"
es_1324,"Yelmo de orco"
es_1325,"Yelmo de cuero de elfo"
es_1326,"Yelmo de infravisión"
es_1327,"Gorra de cuero tachonada"
es_1328,"Yelmo élfico de constitución"
es_1329,"Gorro de Endor"
es_1330,"Casco de Bran"
es_1331,"Diadema de Niviane"
es_1332,Yelmo
es_1333,"Yelmo de hueso"
es_1334,"Ala dorada de la reina hormiga gigante"
es_1335,"Ala plateada de la reina hormiga gigante"
es_1336,"Capa de enano"
es_1337,"Capa de tierra"
es_1338,"Capa de maná"
es_1339,"Capa de la resistencia a la magia"
es_1340,"Capa de agua"
es_1341,"Capa de viento"
es_1342,"Capa de protección"
es_1343,"Capa del caballero rojo"
es_1344,"Capa roja"
es_1345,"Capa de fuego"
es_1346,"Capa orca"
es_1347,"Capa elfa"
es_1348,"Capa de plata"
es_1349,"Capa de invisibilidad"
es_1350,"Capa de desplazamiento"
es_1351,"Capa de hule"
es_1352,"Camiseta de novicio"
es_1353,Camiseta
es_1354,"Armadura de cuero"
es_1355,"Chaleco de cuero"
es_1356,"Malla de placa de hierro"
es_1357,"Malla de anillo"
es_1358,"Armadura de madera"
es_1359,"Armadura de caballero de la muerte"
es_1360,"Malla de bandas"
es_1361,"Malla de cadena de la resistencia a la magia"
es_1362,"Atuendo de hechicero"
es_1363,"Túnica de algodón"
es_1364,"Malla de tablilla"
es_1365,"Armadura de Baphomet"
es_1366,"Armadura del rey Atila"
es_1367,"Chaleco de cuero con cinturón"
es_1368,"Malla de escamas"
es_1369,"Armadura de hueso"
es_1370,"Malla de cadena"
es_1371,"Armadura de cuero de novicio"
es_1372,"Malla de placa de cristal"
es_1373,"Malla de anillo orca"
es_1374,"Malla de cadena orca"
es_1375,"Malla de cadena elfa"
es_1376,"Malla de placa elfa"
es_1377,"Placa de torso élfica"
es_1378,"Chaleco de cuero endurecido"
es_1379,"Armadura de cuero tachonada"
es_1380,"Chaleco de cuero tachonado"
es_1381,"Malla de placa de bronce"
es_1382,"Armadura de Bran"
es_1383,"Túnica de Niviane"
es_1384,"Malla de placa"
es_1385,"Guantes de cuero"
es_1386,"Guantes de hierro"
es_1387,"Guantes de caballero de la muerte"
es_1388,"Guantes del rey Atila"
es_1389,"Guantes de protección"
es_1390,"Guantes de espíritu de agua"
es_1391,"Guantes de cuero de novicio"
es_1392,"Guantes de nieve"
es_1393,"Guantes de cristal"
es_1394,"Guantes de espíritu de tierra"
es_1395,"Guantes de espíritu de fuego"
es_1396,Guantes
es_1397,"Guantes de Bran"
es_1398,"Guantes de Niviane"
es_1399,"Guantes de poder"
es_1400,"Guantes de espíritu de viento"
es_1401,Brazal
es_1402,"Botas de cuero"
es_1403,"Sandalias de cuero"
es_1404,"Botas de hierro"
es_1405,"Botas de caballero de la muerte"
es_1406,"Botas del rey Atila"
es_1407,"Botas de Beleth"
es_1408,"Botas altas"
es_1409,"Sandalias de cuero de novicio"
es_1410,"Botas subacuáticas"
es_1411,"Botas bajas"
es_1412,"Botas de Bran"
es_1413,"Botas de Niviane"
es_1414,"Sandalias de anciano oscuro"
es_1415,"Escudo de cuero"
es_1416,"Escudo de hierro"
es_1417,"Escudo de hueso"
es_1418,"Escudo de madera"
es_1419,"Escudo redondo de enano"
es_1420,"Bola de cristal de maná"
es_1421,"Libro de poderes mágicos"
es_1422,"Escudo de reflejo"
es_1423,"Escudo de ojos rojos"
es_1424,"Escudo de torre"
es_1425,"Escudo de cuero de novicio"
es_1426,"Escudo de elfo"
es_1427,"Escudo de orco"
es_1428,"Escudo del caballero de plata"
es_1429,"Escudo pequeño"
es_1430,"Escudo de cuero tachonado"
es_1431,"Escudo grande"
es_1432,"Nuevo amuleto de Camelot"
es_1433,"Antiguo amuleto de carisma"
es_1434,"Antiguo amuleto de destreza"
es_1435,"Antiguo amuleto de fuerza"
es_1436,"Antiguo amuleto de inteligencia"
es_1437,"Antiguo amuleto de sabiduría"
es_1438,"Antiguo amuleto de constitución"
es_1439,"Amuleto de carisma"
es_1440,"Amuleto de destreza"
es_1441,"Amuleto de la isla prometida"
es_1442,"Amuleto de orco"
es_1443,"Amuleto de fuerza"
es_1444,"Amuleto de inteligencia"
es_1445,"Amuleto de sabiduría"
es_1446,"Amuleto de constitución"
es_1447,"Amuleto de esqueleto"
es_1448,"Anillo de la inmunidad a la magia"
es_1449,"Anillo de control de polimorfia"
es_1450,"Anillo de novicio"
es_1451,"Anillo de control de invocación"
es_1452,"Anillo de la resistencia al agua"
es_1453,"Anillo de control de teletransporte"
es_1454,"Anillo de la resistencia a la tierra"
es_1455,"Anillo de la resistencia al viento"
es_1456,"Anillo de la resistencia a la magia"
es_1457,"Anillo de la resistencia al fuego"
es_1458,"Antiguo cinturón del cuerpo"
es_1459,"Antiguo cinturón del alma"
es_1460,"Antiguo cinturón de la mente"
es_1461,"Brillante cinturón del cuerpo"
es_1462,"Brillante cinturón del alma"
es_1463,"Brillante cinturón de la mente"
es_1464,"Cinturón de cuerpo"
es_1465,"Cinturón de alma"
es_1466,"Cinturón de ogro"
es_1467,"Cinturón de valentía"
es_1468,"Cinturón de mente"
es_1469,"Cinturón de troll"
es_1470,"Chaqueta de cuero"
es_1471,"Collar de luz"
es_1472,"Pendientes de resistencia a la magia"
es_1473,"Chaqueta de madera"
es_1474,"Camiseta de resistencia mágica"
es_1475,"Antiguo amuleto de carisma"
es_1476,"Antiguo amuleto de destreza"
es_1477,"Antiguo amuleto de fuerza"
es_1478,"Antiguo amuleto de inteligencia"
es_1479,"Antiguo amuleto de sabiduría"
es_1480,"Antiguo amuleto de constitución"
es_1481,"Yelmo élfico de destreza (personal)"
es_1482,"Yelmo élfico de constitución (personal)"
es_1483,"Capucha del caballero rojo (personal)"
es_1484,"Yelmo élfico de cuero de constitución (personal)"
es_1485,"Yelmo élfico de cuero de destreza (personal)"
es_1486,"Capucha de gota de sangre (personal)"
es_1487,"Reina Súcuba"
es_1488,"Caudillo troll"
es_1489,"Caudillo yetun"
es_1490,"Líder sombra sangrienta"
es_1491,"Araña asesina gigante"
es_1492,"Teniente arquero demonio"
es_1493,"Pendientes del brillo lunar (miembros)"
es_1494,"Pendientes de polvo de estrellas"
es_1495,"Pendientes de ataque solar"
es_1496,"Pendientes de protector"
es_1497,"Pendientes de héroe"
es_1498,"Pendientes de sabio"
es_1499,"Lancero de estirpe de dragón"
es_1500,"Lancero de estirpe de dragón de élite"
es_1501,"Espadachín de estirpe de dragón"
es_1502,"Espadachín de estirpe de dragón de élite"
es_1503,"Dragón Uni"
es_1504,"Dragón Terra"
