ru_0,"$0 "
ru_989,"Свиток заколдованного оружия (привязано)"
ru_990,"Свиток заколдованной брони (привязано)"
ru_991,"Ключ адского дерева"
ru_992,"Ключ черной крови"
ru_993,"Продвинутый свиток деформации"
ru_994,"Абсолютный свиток деформации"
ru_995,"Дар мудреца"
ru_996,"Дар Теона (60 дн.)"
ru_997,"Свиток улучшенной защиты (оружие)"
ru_998,NULL
ru_999,NULL
ru_1000,"Орочий кинжал"
ru_1001,"Игорный кинжал"
ru_1002,"Клинок короткого меча"
ru_1003,Кинжал
ru_1004,"Эльфийский кинжал"
ru_1005,"Кинжал новичка"
ru_1006,"Мифриловый кинжал"
ru_1007,"Орихалковый кинжал"
ru_1008,"Проклятый меч Брана"
ru_1009,"Клинок длинного меча"
ru_1010,"Клинок орихалкового меча"
ru_1011,"Орочий короткий меч"
ru_1012,"Разрушитель кольчуг"
ru_1013,"Широкий меч"
ru_1014,"Короткий меч"
ru_1015,"Серебряный меч"
ru_1016,"Гномий короткий меч"
ru_1017,Скимитар
ru_1018,"Эльфийский короткий меч"
ru_1019,"Длинный серебряный меч"
ru_1020,"Меч красного рыцаря"
ru_1021,"Широкий меч"
ru_1022,"Меч темного рыцаря"
ru_1023,"Одноручный меч новичка"
ru_1024,"Дамасский меч"
ru_1025,"Кинжал темного рыцаря"
ru_1026,Катана
ru_1027,Рапира
ru_1028,Шамшир
ru_1029,"Двуручный меч новичка"
ru_1030,"Двуручный меч"
ru_1031,"Меч Брана"
ru_1032,Цуруги
ru_1033,"Огненный меч рыцаря смерти"
ru_1034,"Клинок судьбы"
ru_1035,Цвайхендер
ru_1036,"Рог Пана"
ru_1037,"Рог с мифриловым покрытием"
ru_1038,Бердыш
ru_1039,"Орочье копье"
ru_1040,Бил-гвизарма
ru_1041,Трезубец
ru_1042,Протазан
ru_1043,Пика
ru_1044,Пика
ru_1045,Гвизарма
ru_1046,Глефа
ru_1047,"Эльфийское копье"
ru_1048,"Рог с орихалковым покрытием"
ru_1049,"Копье Нестро"
ru_1050,Алебарда
ru_1051,Глефа
ru_1052,"Копье новичка"
ru_1053,"Боевое копье клюва ворона"
ru_1054,"Эльфийский короткий меч сопротивления магии"
ru_1055,"Эльфийский короткий меч ловкости"
ru_1056,"Кристальный посох"
ru_1057,"Посох новичка"
ru_1058,"Посох Белета"
ru_1059,"Посох Бафомета"
ru_1060,"Посох чародейства"
ru_1061,"Посох маны"
ru_1062,"Стальной посох маны"
ru_1063,"Дубовый посох"
ru_1064,"Посох волшебника"
ru_1065,"Посох силы"
ru_1066,Топор
ru_1067,Атам
ru_1068,Дубина
ru_1069,Кистень
ru_1070,Булава
ru_1071,"Боевой молот"
ru_1072,"Серебряный топор"
ru_1073,Бердыш
ru_1074,"Отличный стальной боевой топор"
ru_1075,"Топор берсеркера"
ru_1076,Моргенштерн
ru_1077,"Топор новичка"
ru_1078,"Двуручный топор"
ru_1079,"Охотничий лук"
ru_1080,"Эльфийский лук"
ru_1081,"Орочий лук"
ru_1082,Лук
ru_1083,"Короткий лук"
ru_1084,"Каменный лук новичка"
ru_1085,"Лук новичка"
ru_1086,Арбалет
ru_1087,Юми
ru_1088,"Древний арбалет"
ru_1089,"Лук Венти"
ru_1090,"Эльфийский короткий меч силы заклинаний"
ru_1091,"Эльфийский короткий меч телосложения"
ru_1092,"Посох маны (личный)"
ru_1093,"Посох с самоцветом (личный)"
ru_1094,"Заколдованное копье"
ru_1095,"Опытный маг"
ru_1096,"Заколдованный топор солдата"
ru_1097,"Магический лучник"
ru_1098,"Заколдованный воин"
ru_1099,"Заколдованный паук"
ru_1100,"Заколдованный гуль"
ru_1101,"Заколдованный король багберов"
ru_1102,"Гниющее тело"
ru_1103,"Проклятый закон"
ru_1104,Чумной
ru_1105,Обреченный
ru_1106,"Заколдованный огр"
ru_1107,"Странный старик"
ru_1108,"Тень странного старика"
ru_1109,"Невезучий призрак"
ru_1110,"Тень невезучего призрака"
ru_1111,"Заколдованная королева пауков"
ru_1112,"Жадный человек с топором"
ru_1113,"Коготь катастрофы"
ru_1114,"Грех болезни"
ru_1115,"Заколдованный Бафомет"
ru_1116,"Абсолютный свиток деформации"
ru_1117,"Меч надежды (личный)"
ru_1118,"Меч надежды"
ru_1119,"Зелье восстановления магии"
ru_1120,"Свиток возвращения: подземелье в Маросе, 1-й этаж (привязано)"
ru_1121,"Свиток возвращения: подземелье в Маросе, 2-й этаж (привязано)"
ru_1122,"Свиток возвращения: подземелье в Маросе, 3-й этаж (привязано)"
ru_1123,"Свиток возвращения: подземелье в Маросе, 4-й этаж (привязано)"
ru_1124,"Свиток возвращения: подземелье в Маросе, 5-й этаж (привязано)"
ru_1125,"Свиток возвращения: подземелье в Маросе, 6-й этаж (привязано)"
ru_1126,"Свиток возвращения: подземелье в Маросе, 7-й этаж (привязано)"
ru_1127,"Кости овцы"
ru_1128,"Мертвое дерево"
ru_1129,"Эссенция костяной муки"
ru_1130,Тотем
ru_1131,"Фрагменты тотема"
ru_1132,"Великая тыква [Хэллоуин]"
ru_1133,"Тыквенное пирожное [Хэллоуин]"
ru_1134,"Орочий тотем"
ru_1135,"Эльфийский камень"
ru_1136,"Бог воды"
ru_1137,"Письмо предводителя орков"
ru_1138,"Книга древнего заклинания тумана"
ru_1139,"Каменное сердце заклинания тумана"
ru_1140,"Благословение богини луны"
ru_1141,"Потерявшаяся овца"
ru_1142,"Украденные эльфийские крылья"
ru_1143,"Шапка Санты"
ru_1144,"Носки Санты"
ru_1145,"Рождественский подарок"
ru_1146,"Удачный рождественский подарок"
ru_1147,"Временная клятва"
ru_1148,"Продвинутая карта сокровищ (Обетованный остров)"
ru_1149,NULL
ru_1150,NULL
ru_1151,NULL
ru_1152,NULL
ru_1153,"Продвинутая карта сокровищ (Обетованный остров)"
ru_1154,"Обрывок продвинутой карты сокровищ I (Обетованный остров)"
ru_1155,"Обрывок продвинутой карты сокровищ II (Обетованный остров)"
ru_1156,"Обрывок продвинутой карты сокровищ III (Обетованный остров)"
ru_1157,"Обрывок продвинутой карты сокровищ IV (Обетованный остров)"
ru_1158,NULL
ru_1159,NULL
ru_1160,NULL
ru_1161,NULL
ru_1162,NULL
ru_1163,NULL
ru_1164,NULL
ru_1165,NULL
ru_1166,NULL
ru_1167,NULL
ru_1168,NULL
ru_1169,NULL
ru_1170,NULL
ru_1171,NULL
ru_1172,NULL
ru_1173,NULL
ru_1174,NULL
ru_1175,NULL
ru_1176,NULL
ru_1177,NULL
ru_1178,NULL
ru_1179,NULL
ru_1180,NULL
ru_1181,NULL
ru_1182,"Монарх унголиантов"
ru_1183,"Вождь гоблинов"
ru_1184,"Монарх церберов"
ru_1185,"Главарь гоблинов"
ru_1186,"Главарь хобгоблинов"
ru_1187,"Генерал элитных скелетов"
ru_1188,"Генерал элитных скелетов магов"
ru_1189,"Генерал элитных скелетов с топорами"
ru_1190,"Генерал элитных скелетов лучников"
ru_1191,"Генерал элитных скелетов с копьями"
ru_1192,"Лейтенант скелетов"
ru_1193,"Лейтенант скелетов магов"
ru_1194,"Лейтенант скелетов с топорами"
ru_1195,"Лейтенант скелетов лучников"
ru_1196,"Лейтенант скелетов с копьями"
ru_1197,"Альфа оборотней"
ru_1198,"Элитный плавучий глаз"
ru_1199,"Альфа ликантропов"
ru_1200,"Главарь зомби"
ru_1201,"Монарх шелобов"
ru_1202,"Элитный каменный голем"
ru_1203,"Главарь гастов"
ru_1204,"Вождь огров"
ru_1205,"Главарь гулей"
ru_1206,"Элитная слизь"
ru_1207,"Вождь огров"
ru_1208,"Вождь орков магов"
ru_1209,"Вождь орков лучников"
ru_1210,"Вождь орков бойцов"
ru_1211,"Монарх три-кринов"
ru_1212,"Монарх багберов"
ru_1213,"Элитная ночная тень"
ru_1214,"Элитный гном"
ru_1215,"Элитный гном воин"
ru_1216,"Карта сокровищ"
ru_1217,"Продвинутая карта сокровищ"
ru_1218,"Монарх лолтов"
ru_1219,"Лейтенант дроу"
ru_1220,"Лейтенант орков пехотинцев"
ru_1221,"Лейтенант орков стражников"
ru_1222,"Лейтенант орков арбалетчиков"
ru_1223,"Вождь орков шаманов"
ru_1224,"Вождь орков зомби"
ru_1225,"Свиток превращения 1-го уровня"
ru_1226,"Свиток превращения 2-го уровня"
ru_1227,"Свиток превращения 3-го уровня"
ru_1228,"Свиток превращения 4-го уровня"
ru_1229,"Свиток превращения 5-го уровня"
ru_1230,"Свиток превращения 6-го уровня"
ru_1231,"Кристалл духа"
ru_1232,"Особый кристалл духа (земля)"
ru_1233,"Особый кристалл духа (вода)"
ru_1234,"Особый кристалл духа (ветер)"
ru_1235,"Особый кристалл духа (огонь)"
ru_1236,NULL
ru_1237,NULL
ru_1238,NULL
ru_1239,NULL
ru_1240,NULL
ru_1241,NULL
ru_1242,NULL
ru_1243,NULL
ru_1244,NULL
ru_1245,NULL
ru_1246,NULL
ru_1247,NULL
ru_1248,NULL
ru_1249,"Порванный продвинутый свиток превращения(привязанный)"
ru_1250,"Продвинутый свиток деформации (привязанный)"
ru_1251,"Эссенция превращения"
ru_1252,"Магический прибор Мерлина"
ru_1253,NULL
ru_1254,NULL
ru_1255,привязано
ru_1256,"Кровожадный оборотень"
ru_1257,"Кровожадный огр"
ru_1258,"Альфа Кровожадный оборотень"
ru_1259,"Вождь Кровожадный огр"
ru_1260,"Щит Алого Рыцаря"
ru_1261,"Главарь Суккуб"
ru_1262,"Главарь Кокатрис"
ru_1263,Старый
ru_1264,Сияющая
ru_1265,Эми[Одежда]
ru_1266,Жадный
ru_1267,"[Арена хаоса]"
ru_1268,[рынок]
ru_1269,"[Преобразование атрибута]"
ru_1270,"Коробка подарков за рост персонажа"
ru_1271,"Священный камень надежды"
ru_1272,"Защита храма Парта"
ru_1273,"Кольцо мира"
ru_1274,"Могучее оружие Зеса"
ru_1275,"Свиток усиления оружия (для задания)"
ru_1276,"Скрепленная клятва (15 дней)"
ru_1277,Глория
ru_1278,"Магический рунный камень"
ru_1279,"Магическая краска"
ru_1280,"Особая магическая краска"
ru_1281,"Злой хищник"
ru_1282,"Темный скелет лучник"
ru_1283,"Темный Скелет маг"
ru_1284,"Темный Лейтенант скелетов лучников"
ru_1285,"Темный Лейтенант скелетов магов"
ru_1286,"Кровавая тень"
ru_1287,"Паук-убийца"
ru_1288,"Демон лучник"
ru_1289,"Набор красного рыцаря"
ru_1290,"Набор рыцаря смерти"
ru_1291,"Набор Брана"
ru_1292,"Кожаный набор"
ru_1293,"Набор орка"
ru_1294,"Набор гнома"
ru_1295,"Набор предметов из кожи с заклепками"
ru_1296,"Костяной набор"
ru_1297,"Набор волшебника"
ru_1298,"Железный набор"
ru_1299,"Кожаные сандалии с заклепками"
ru_1300,"Кожаная шапка"
ru_1301,"Кожаный шлем"
ru_1302,"Железное забрало"
ru_1303,"Рыцарский капюшон"
ru_1304,"Рыцарское забрало"
ru_1305,"Гномий железный шлем"
ru_1306,"Старый шлем ветра"
ru_1307,"Шлем рыцаря смерти"
ru_1308,"Шлем магического сопротивления"
ru_1309,"Шапка волшебника"
ru_1310,"Шлем магии: скорость"
ru_1311,"Шлем магии: лечение"
ru_1312,"Шлем магии: сила"
ru_1313,"Шапка Свипдага"
ru_1314,Корона
ru_1315,"Эльфийский шлем ловкости"
ru_1316,"Шлем ветра"
ru_1317,"Шлем Аттилы"
ru_1318,"Шапка Сауронера"
ru_1319,"Ночное зрение"
ru_1320,"Капюшон красного рыцаря"
ru_1321,"Кожаный шлем новичка"
ru_1322,"Шапка Скальда"
ru_1323,"Благословение вяза"
ru_1324,"Орочий шлем"
ru_1325,"Эльфийский кожаный шлем"
ru_1326,"Шлем инфразрения"
ru_1327,"Кожаная шапка с заклепками"
ru_1328,"Эльфийский шлем телосложения"
ru_1329,"Шапка Эндора"
ru_1330,"Шлем Брана"
ru_1331,"Обруч Нивианы"
ru_1332,Шлем
ru_1333,"Костяной шлем"
ru_1334,"Золотое крыло королевы огромных муравьев"
ru_1335,"Серебряное крыло королевы огромных муравьев"
ru_1336,"Гномий плащ"
ru_1337,"Земляной плащ"
ru_1338,"Плащ маны"
ru_1339,"Плащ магического сопротивления"
ru_1340,"Водяной плащ"
ru_1341,"Ветряной плащ"
ru_1342,"Плащ защиты"
ru_1343,"Плащ красного рыцаря"
ru_1344,"Красный плащ"
ru_1345,"Огненный плащ"
ru_1346,"Орочий плащ"
ru_1347,"Эльфийский плащ"
ru_1348,"Серебряный плащ"
ru_1349,"Плащ невидимости"
ru_1350,"Плащ смещения"
ru_1351,"Непромокаемый плащ"
ru_1352,"Футболка новичка"
ru_1353,Футболка
ru_1354,"Кожаная броня"
ru_1355,"Кожаный жилет"
ru_1356,"Железные латы"
ru_1357,"Кольчатая броня"
ru_1358,"Деревянная броня"
ru_1359,"Броня рыцаря смерти"
ru_1360,"Ламинарная броня"
ru_1361,"Кольчуга сопротивления магии"
ru_1362,"Одежда волшебника"
ru_1363,"Хлопковая мантия"
ru_1364,"Пластинчатая броня"
ru_1365,"Броня Бафомета"
ru_1366,"Броня Аттилы"
ru_1367,"Кожаный жилет с поясом"
ru_1368,"Чешуйчатая броня"
ru_1369,"Костяная броня"
ru_1370,Кольчуга
ru_1371,"Кожаная броня новичка"
ru_1372,"Кристальные латы"
ru_1373,"Орочья кольчатая броня"
ru_1374,"Орочья кольчуга"
ru_1375,"Эльфийская кольчуга"
ru_1376,"Эльфийские латы"
ru_1377,"Эльфийский нагрудник"
ru_1378,"Жесткий кожаный жилет"
ru_1379,"Кожаная броня с заклепками"
ru_1380,"Кожаный жилет с заклепками"
ru_1381,"Бронзовые латы"
ru_1382,"Броня Брана"
ru_1383,"Мантия Нивианы"
ru_1384,Латы
ru_1385,"Кожаные перчатки"
ru_1386,"Железные перчатки"
ru_1387,"Перчатки рыцаря смерти"
ru_1388,"Перчатки Аттилы"
ru_1389,"Перчатки защиты"
ru_1390,"Перчатки духа воды"
ru_1391,"Кожаные перчатки новичка"
ru_1392,"Снежные перчатки"
ru_1393,"Кристальные перчатки"
ru_1394,"Перчатки духа земли"
ru_1395,"Перчатки духа огня"
ru_1396,Перчатки
ru_1397,"Перчатки Брана"
ru_1398,"Перчатки Нивианы"
ru_1399,"Перчатки силы"
ru_1400,"Перчатки духа ветра"
ru_1401,Наруч
ru_1402,"Кожаные сапоги"
ru_1403,"Кожаные сандалии"
ru_1404,"Железные сапоги"
ru_1405,"Сапоги рыцаря смерти"
ru_1406,"Сапоги Аттилы"
ru_1407,"Сапоги Белета"
ru_1408,Сапоги
ru_1409,"Кожаные сандалии новичка"
ru_1410,"Подводные сапоги"
ru_1411,Башмаки
ru_1412,"Сапоги Брана"
ru_1413,"Сапоги Нивианы"
ru_1414,"Сандалии темного старейшины"
ru_1415,"Кожаный щит"
ru_1416,"Железный щит"
ru_1417,"Костяной щит"
ru_1418,"Деревянный щит"
ru_1419,"Гномий круглый щит"
ru_1420,"Хрустальный шар маны"
ru_1421,"Книга магических сил"
ru_1422,"Щит отражения"
ru_1423,"Красноглазый щит"
ru_1424,"Осадный щит"
ru_1425,"Кожаный щит новичка"
ru_1426,"Эльфийский щит"
ru_1427,"Орочий щит"
ru_1428,"Щит серебряного рыцаря"
ru_1429,"Маленький щит"
ru_1430,"Кожаный щит с заклепками"
ru_1431,"Большой щит"
ru_1432,"Амулет Нового Камелота"
ru_1433,"Старый амулет харизмы"
ru_1434,"Старый амулет ловкости"
ru_1435,"Старый амулет силы"
ru_1436,"Старый амулет интеллекта"
ru_1437,"Старый амулет мудрости"
ru_1438,"Старый амулет телосложения"
ru_1439,"Амулет харизмы"
ru_1440,"Амулет ловкости"
ru_1441,"Амулет Обетованного острова"
ru_1442,"Амулет орка"
ru_1443,"Амулет силы"
ru_1444,"Амулет интеллекта"
ru_1445,"Амулет мудрости"
ru_1446,"Амулет телосложения"
ru_1447,"Амулет скелета"
ru_1448,"Кольцо иммунитета к магии"
ru_1449,"Кольцо управления превращением"
ru_1450,"Кольцо новичка"
ru_1451,"Кольцо управления призывом"
ru_1452,"Кольцо сопротивления воде"
ru_1453,"Кольцо управления телепортом"
ru_1454,"Кольцо сопротивления земле"
ru_1455,"Кольцо сопротивления ветру"
ru_1456,"Кольцо сопротивления магии"
ru_1457,"Кольцо сопротивления огню"
ru_1458,"Старый пояс тела"
ru_1459,"Старый пояс души"
ru_1460,"Старый пояс разума"
ru_1461,"Сияющий пояс тела"
ru_1462,"Сияющий пояс души"
ru_1463,"Сияющий пояс разума"
ru_1464,"Пояс тела"
ru_1465,"Пояс души"
ru_1466,"Пояс огра"
ru_1467,"Пояс храбрости"
ru_1468,"Пояс разума"
ru_1469,"Пояс тролля"
ru_1470,"Кожаная куртка"
ru_1471,"Ожерелье света"
ru_1472,"Серьги сопротивления магии"
ru_1473,"Деревянная куртка"
ru_1474,"Футболка сопротивления магии"
ru_1475,"Старый амулет харизмы"
ru_1476,"Старый амулет ловкости"
ru_1477,"Старый амулет силы"
ru_1478,"Старый амулет интеллекта"
ru_1479,"Старый амулет мудрости"
ru_1480,"Старый амулет телосложения"
ru_1481,"Эльфийский шлем ловкости (личный)"
ru_1482,"Эльфийский шлем телосложения (личный)"
ru_1483,"Капюшон красного рыцаря (личный)"
ru_1484,"Эльфийский кожаный шлем телосложения (личный)"
ru_1485,"Эльфийский кожаный шлем ловкости (личный)"
ru_1486,"Окровавленный капюшон (личный)"
ru_1487,"Королева суккубов"
ru_1488,"Вождь троллей"
ru_1489,"Вождь эттинов"
ru_1490,"Главарь кровавых теней"
ru_1491,"Огромный паук-убийца"
ru_1492,"Лейтенант демонов лучников"
ru_1493,"Серьги лунного сияния (для членов)"
ru_1494,"Серьги звездной пыли"
ru_1495,"Серьги солнечного удара"
ru_1496,"Серьги защитника"
ru_1497,"Серьги героя"
ru_1498,"Серьги мудреца"
ru_1499,"Драконий копейщик"
ru_1500,"Элитный драконий копейщик"
ru_1501,"Драконий мечник"
ru_1502,"Элитный драконий мечник"
ru_1503,"Дракон Уни"
ru_1504,"Дракон Терра"
ru_1505,"I"
ru_1506,"Ⅱ"
ru_1507,"Ⅲ"
ru_1508,"IV"
ru_1509,"Ⅴ"
ru_1510,"Ⅵ"
ru_1511,"Секреты Эдина"
ru_1512,"Слуга [гостиница]"
ru_1513,"Эмиссар подарков"
ru_1514,"Благословение Теона"
ru_1515,"Рунный камень удачи"
ru_1516,"Подарок пригласившему"
ru_1517,"Премиум-подарок пригласившему"
ru_1518,"Боевое руководство охотника"
ru_1519,"Продвинутое зелье противоядия"
ru_1520,"Главная страница Кассандра"
ru_1521,"ермес[Подземелье Обетованного острова"
ru_1522,"Подземелье Мароса"
ru_1523,"Эльфийское подземелье"
ru_1524,"Эльберет Zuhause"
ru_1525,"В Дрейковые горы"
ru_1526,"в Эльфийский сад"
ru_1527,"Подземелье в Дрейковых горах"
ru_1528,"Глория[рынок]"
ru_1529,"В регион Марос"
ru_1530,"В Землю природы"
ru_1531,"Ящеролюд-лучник"
ru_1532,"Скорпион-монарх"
ru_1533,"Василиск-монарх"
ru_1534,"Элитная гарпия"
ru_1535,"Ящеролюд-лейтенант"
ru_1536,"Термит-монарх"
ru_1537,"Муравей-монарх"
ru_1538,"Ящеролюд-лучник, лейтенант"
ru_1539,"Жало смерти"
ru_1540,"Накидка с мифриловым орнаментом"
ru_1541,"Накидка с кровавым орнаментом"
ru_1542,"Зачарованный свиток превращения уровня 1"
ru_1543,"Зачарованный свиток превращения уровня 2"
ru_1544,"Зачарованный свиток превращения уровня 3"
ru_1545,"Зачарованный свиток превращения уровня 4"
ru_1546,"Зачарованный свиток превращения уровня 5"
ru_1547,"Зачарованный свиток превращения уровня 6"
ru_1548,"Зачарованный продвинутый свиток превращения"
ru_1549,"Мифриловый длинный меч"
ru_1550,"Яд скорпиона"
ru_1551,"Лекарство"
ru_1552,"Шкура ящеролюда"
ru_1553,"Пропуск в замок Сэндвуд"
ru_1554,"Ядовитая стрела"
ru_1555,"Ядовитое копье"
ru_1556,"Гол"
ru_1557,"Бабушка Олан"
ru_1558,"Генерал Георг"
ru_1559,"Оррик"
ru_1560,"Марин"
ru_1561,"Харберт"
ru_1562,"Загадочный маг"
ru_1563,"Гия [Лавка предметов]"
ru_1564,"Кирстен [Зелья]"
ru_1565,"Аптон [Лавка доспехов]"
ru_1566,"Нельсон [Лавка оружия]"
ru_1567,"Джоффруа [Склад]"
ru_1568,"Сала [Лавка предметов]"
ru_1569,"Камилла [Зелья]"
ru_1570,"Раймонд [Лавка доспехов]"
ru_1571,"Скот [Лавка оружия]"
ru_1572,"Джосклин [Склад]"
ru_1573,"Отелин [Зачарование]"
ru_1574,"Матильда [Рынок]"
ru_1575,"Камелия [Лавка предметов]"
ru_1576,"Марис [Зелья]"
ru_1577,"Крайг [Лавка доспехов]"
ru_1578,"Гарет [Лавка оружия]"
ru_1579,"Тибальт [Склад]"
ru_1580,"Виллиам [Зачарование]"
ru_1581,"Джулиана [Рынок]"
ru_1582,"Cю [Торговец в оазисе]"
ru_1583,"В регион Сэндвуд"
ru_1584,"Прикосновение вампира"
ru_1585,Путешественник
ru_1586,斧鉗巨蟻
ru_1587,火蟻頭目
ru_1588,兵蟻頭目
ru_1589,巨螞蟻頭目
ru_1590,回憶泉水
ru_1591,飾品強化保護卷軸
ru_1592,"Посох с самоцветом"
ru_1593,賞金
ru_1594,追獵魔杖
