cn_0,一刀两断的,卫维恩
cn_809,畏首畏尾的,若娜
cn_810,相映成趣的,英国
cn_811,相貌堂堂的,英格马
cn_812,眉飞色舞的,英格兰姆
cn_813,眉开眼笑的,英格丽
cn_814,眉清目秀的,英格丽德
cn_815,视死如归的,范
cn_816,结结巴巴的,范伦丁
cn_817,美如冠玉的,范伦汀娜
cn_818,美丽的,范伦铁恩
cn_819,美味的,茉伊拉
cn_820,美型的,茉莉
cn_821,美美的,费奇
cn_822,美若天仙的,费怡
cn_823,美艳绝世的,费滋
cn_824,美艳绝伦的,迦勒
cn_825,美愈天人的,迪夫
cn_826,美撼凡尘的,迪丽雅
cn_827,耐久的,迪恩
cn_828,胆小怕事的,迪得莉
cn_829,胆小的,修
cn_830,背叛的,哲罗姆
cn_831,胖嘟嘟的,唐
cn_832,胜券在握的,唐纳修
cn_833,胡思乱想的,唐纳德
cn_834,若无其事的,唐娜
cn_835,苦干的,唐恩
cn_836,苦的,埃文
cn_837,苦哈哈的,埃尔莎
cn_838,苦思冥想的,埃里克
cn_839,英明果断的,埃奇沃思
cn_840,英俊潇洒的,埃迪
cn_841,英勇无敌的,埃莉卡
cn_842,英勇好斗的,埃莉诺
cn_843,英勇顽强的,夏佐
cn_844,英姿飒爽的,夏洛特
cn_845,虹色的,姬儿
cn_846,语重心长的,姬尔
cn_847,语惊四座的,姬玛
cn_848,诱人香味的,姬恩
cn_849,说一不二的,娜特莉
cn_850,说话风趣的,娜提雅维达
cn_851,说话诙谐的,娜塔莉
cn_852,费舌劳唇的,娜塔莎
cn_853,轻声轻气的,宾
cn_854,轻轻的,席拉
cn_855,轻飘飘的,席梦娜
cn_856,重大的,朗曼
cn_857,闻过则喜的,格兰汉
cn_858,面如土色的,格兰特
cn_859,面有菜色的,格兰瑟姆
cn_860,面红耳赤的,格里芬
cn_861,面面相觑的,格拉蒂丝
cn_862,面黄肌瘦的,格林
cn_863,饶有风趣的,格林顿
cn_864,首创精神,格罗佛
cn_865,香肌玉肤的,格罗瑞娅
cn_866,香喷喷的,格温多琳
cn_867,骄阳似火的,格瑞丝
cn_868,骄傲自大的,格瑞塔
cn_869,倾心吐胆的,桃乐斯
cn_870,倾国倾城的,桃瑞丝
cn_871,冥冥的,桑迪
cn_872,凉的,桑席
cn_873,凉爽的,桑德拉
cn_874,埋头苦干的,泰贝莎
cn_875,夏日炎炎的,泰丝
cn_876,娓娓而谈的,泰伦
cn_877,娘娘腔的,泰伦斯
cn_878,娥娜翩跹的,泰丽莎
cn_879,容光焕发的,泰特
cn_880,宽以待人的,泰勒
cn_881,宽宏大度的,泰瑞莎
cn_882,宽宏大量的,泰蜜
cn_883,宽厚的,泰德
cn_884,宾客盈门的,海伍德
cn_885,座无虚席的,海伦
cn_886,恩尽义绝的,海伦娜
cn_887,恭顺的,海柔尔
cn_888,息事宁人的,海洛伊丝
cn_889,恶贯满盈的,海顿
cn_890,恶狠狠的,海勒
cn_891,恶恶实实的,海曼
cn_892,悄悄的,海莉
cn_893,捕风捉影的,海登
cn_894,料事如神的,海蒂
cn_895,旁敲侧击的,爱丝特
cn_896,残酷无情的,爱尔玛
cn_897,残暴的,爱尔顿
cn_898,殷勤周到的,爱尔莎
cn_899,殷勤的,爱伦
cn_900,浩然之气的,爱丽丝
cn_901,浪子回头的,爱丽森
cn_902,浮文巧语的,爱沙拉
cn_903,海市蜃楼的,爱玛
cn_904,海蓝的,爱罗伊
cn_905,烈日当空的,爱迪生
cn_906,热血的,爱格伯特
cn_907,热忱招呼的,爱莉丝
cn_908,热呼呼的,爱斯特尔
cn_909,热的,爱琳
cn_910,热热的,爱琳娜
cn_911,热情周到的,爱德华
cn_912,热情招待的,爱德格
cn_913,热情的,爱德温
cn_914,热情相邀的,特伦斯
cn_915,爱动脑筋,特丽莎
cn_916,爱恨分明的,特里
cn_917,爱美的,特洛伊
cn_918,狼子野心的,特瑞西
cn_919,狼心狗肺的,特蕾西
cn_920,真心实意的,班
cn_921,真心诚意的,班尼迪克
cn_922,真朱的,班奈特
cn_923,真红的,班杰明
cn_924,真赤的,班森
cn_925,真实的,笆笆拉
cn_926,真诚的,索尼亚
cn_927,真情实意的,索菲娅
cn_928,破门而出的,诺厄
cn_929,破釜沉舟的,诺尔
cn_930,祖母绿的,诺亚
cn_931,神飞色动的,诺玛
cn_932,神仙玉骨的,诺拉
cn_933,神态自若的,诺埃尔
cn_934,神采飞扬的,诺曼
cn_935,神采奕奕的,诺维雅
cn_936,笑吟吟的,贾尔斯
cn_937,笑里藏刀的,贾思琳
cn_938,笑呵呵的,贾桂琳
cn_939,笑咪咪的,贾斯丁
cn_940,笑哈哈的,贾斯汀
cn_941,笑盈盈的,贾斯帕
cn_942,笑眯眯的,贾斯特
cn_943,笑逐言开的,贾斯敏
cn_944,笑嘻嘻的,高德佛里
cn_945,笔走龙蛇的,勒斯
cn_946,粉白黛黑的,培迪
cn_947,素净淡雅的,基思
cn_948,耿直的,基诺
cn_949,胸无城府的,基斯
cn_950,胸无点墨的,基蒂
cn_951,胸无宿物的,堂娜
cn_952,胸怀坦荡的,婕西
cn_953,能干的,婕咪
cn_954,能言善辩的,密克
cn_955,能胜任的,康那理惟士
cn_956,能说会道的,康里
cn_957,能歌善舞的,康奈尔
cn_958,艳冠群芳的,康妮
cn_959,草绿的,康拉德
cn_960,草菅人命的,康斯坦丝
cn_961,草黄的,康斯坦斯
cn_962,谈笑风生的,得文
cn_963,谈笑风声的,曼达
cn_964,豺狼成性的,曼迪
cn_965,赶尽杀绝的,曼特裘
cn_966,迷途知返的,曼斯菲尔德
cn_967,追忆的,曼蒂
cn_968,适应性强的,曼德尔
cn_969,酒精的,梅
cn_970,釜底抽薪的,梅甘
cn_971,铁红的,梅米
cn_972,铁血的,梅根
cn_973,铁骨铮铮的,梅格
cn_974,顽强的,梅维丝
cn_975,顾盼流转的,梅莉
cn_976,骨瘦如柴的,梅森
cn_977,高风亮节的,梅琳达
cn_978,高尚的,梅瑞狄斯
cn_979,高朋满座的,梅蜜
cn_980,高的,梅薇思
cn_981,高情远致的,梦娜
cn_982,鬼畜的,梵妮
cn_983,龀牙咧嘴的,理查
cn_984,假仁假义的,理查森
cn_985,假惺惺的,盖
cn_986,健步如飞的,盖文
cn_987,健谈的,盖尔
cn_988,健康的,盖理
cn_989,偷天换日的,绮丽儿
cn_990,偷偷的,绮莉
cn_991,偷梁换柱的,维文
cn_992,剪水双瞳的,维尔拉
cn_993,唯唯诺诺的,维尔莉特
cn_994,堂堂正正的,维布伦
cn_995,婀娜多姿的,维吉尔
cn_996,婉风流转的,维吉妮亚
cn_997,密密的,维多
cn_998,彩色的,维多利亚
cn_999,彩虹的,维克
cn_1000,得过且过的,维克多
cn_1001,悠闲自在的,维克特
cn_1002,悠然自得的,维纳斯
cn_1003,情同骨肉的,维达
cn_1004,情投意合的,维拉
cn_1005,惊讶的,维拉妮卡
cn_1006,惊艳的,维姬
cn_1007,惨无人道的,维娜
cn_1008,排忧解难的,维琪
cn_1009,掠夺的,维隆卡
cn_1010,推心置腹的,维德
cn_1011,推诚相见的,莉达
cn_1012,推诚相待的,莉拉
cn_1013,推襟送抱的,莉兹
cn_1014,掩耳盗铃的,莉娃
cn_1015,敏捷的,莉迪娅
cn_1016,救死扶伤的,莉娜
cn_1017,断然处置的,莉莉
cn_1018,断然措施的,莉莉斯
cn_1019,旋乾转坤的,莉莲
cn_1020,欲言又止的,莉斯
cn_1021,深红的,莉蒂亚
cn_1022,深赤的,莉蒂西雅
cn_1023,深明大义的,莎伦
cn_1024,深苍的,莎拉
cn_1025,深青的,莎芭丝提妮
cn_1026,深思熟虑的,莎柏琳娜
cn_1027,深绿的,莎洛姆
cn_1028,深黄的,莎曼撤
cn_1029,深碧的,莎莉
cn_1030,深蓝的,莎莉丝特
cn_1031,深藏若虚的,莎碧娜
cn_1032,混混的,莫尔
cn_1033,清丝纠缠的,莫尼卡
cn_1034,清丽绝俗的,莫妮卡
cn_1035,清秀高雅的,莫林
cn_1036,清闲自在的,莫琳
cn_1037,清和平允的,莫雷
cn_1038,清艳脱俗的,莰蒂丝
cn_1039,爽快的,莱安
cn_1040,爽直的,莱特
cn_1041,爽朗的,莱斯利
cn_1042,猛烈的,莱斯特
cn_1043,率直的,莱瑞拉
cn_1044,理解力强的,陶德
cn_1045,甜蜜蜜的,雪伦
cn_1046,盛情款待的,雪丽
cn_1047,眼观六路的,雪丽尔
cn_1048,眼高手低的,雪莉
cn_1049,矫揉造作的,雪莱
cn_1050,移樽就教的,堤姆
cn_1051,笨鸟先飞的,奥巴代亚
cn_1052,粗心的,奥卡西
cn_1053,累的,奥古斯汀
cn_1054,绿色的,奥古斯特
cn_1055,绿油油的,奥布里
cn_1056,绿的,奥丽芙
cn_1057,绿绿的,奥丽薇亚
cn_1058,脱俗的,奥克塔维亚
cn_1059,莫须有的,奥克塔薇尔
cn_1060,虚己以听的,奥利尔
cn_1061,虚与委蛇的,奥利弗
cn_1062,虚心的,奥利佛
cn_1063,虚乎乎的,奥利维亚
cn_1064,虚头巴脑的,奥狄斯
cn_1065,虚伪刁滑的,奥玛
cn_1066,虚伪的,奥帕
cn_1067,虚怀若谷的,奥格斯格
cn_1068,虚弱的,奥特
cn_1069,虚情假义的,奥特曼
cn_1070,蛇蝎心肠的,奥康纳
cn_1071,袖手傍观的,奥斯丁
cn_1072,被褐怀玉的,奥斯卡
cn_1073,逍遥自在的,奥斯本
cn_1074,逍遥自娱的,奥斯汀
cn_1075,逍遥自得的,奥斯顿
cn_1076,逗人发笑的,奥斯维得
cn_1077,通宵达旦的,奥琳娜
cn_1078,通情达理的,奥菲莉亚
cn_1079,铜绿的,奥菲莉娅
cn_1080,铜筋铁骨的,奥萝拉
cn_1081,铜黄的,奥蒂列特
cn_1082,铮铮铁骨的,奥蒂莉亚
cn_1083,雪中送炭的,奥德里奇
cn_1084,傅粉施朱的,奥德莉
cn_1085,最坏的,富宾恩
cn_1086,最糟的,强尼
cn_1087,博大精深的,强纳生
cn_1088,博古通今的,惠特尼
cn_1089,博学多才的,提姆
cn_1090,博采从议的,斐迪南
cn_1091,博闻强识的,斐瑞
cn_1092,善于分析的,斯考特
cn_1093,善于交际的,斯图尔特
cn_1094,善于表达,斯图亚特
cn_1095,善气迎人的,斯坦利
cn_1096,善良仁慈的,斯派克
cn_1097,善良忠厚的,斯科特
cn_1098,善良的,斯宾塞
cn_1099,善良温柔的,斯密斯
cn_1100,善良温柔诚实真诚的,斯莱瑞
cn_1101,善始善终的,斯温伯恩
cn_1102,善社交的,斯蒂芬
cn_1103,喋喋不休的,斯蒂芬妮
cn_1104,喜上眉梢的,斯嘉丽
cn_1105,喜气洋洋的,普利莫
cn_1106,喜出望外的,普里西拉
cn_1107,喜洋洋的,普里斯特利
cn_1108,喜笑颜开的,普莉玛
cn_1109,喧哗的,普鲁登斯
cn_1110,奥妙无穷的,棠雅
cn_1111,奥妙的,渥兹华斯
cn_1112,富创造力的,温士顿
cn_1113,强壮的,温妮
cn_1114,悲观失望的,温妮费德
cn_1115,惺惺作态的,温妮莎
cn_1116,愤怒的,温蒂
cn_1117,热爱动物的,温德尔
cn_1118,提心吊胆的,琳
cn_1119,敢冲敢闯的,琳达
cn_1120,敢作敢当的,琳赛
cn_1121,敢说敢作的,琴
cn_1122,散漫的,琼
cn_1123,斯文的,琼安娜
cn_1124,暂时的,琼纳斯
cn_1125,棋艺精湛的,菲力克斯
cn_1126,棕色的,菲力浦
cn_1127,温文而雅的,菲比
cn_1128,温柔的,菲尔
cn_1129,温柔敦厚的,菲尔丁
cn_1130,温婉娴淑的,菲丽丝
cn_1131,温情脉脉的,菲妮克丝
cn_1132,渴望的,菲洛米娜
cn_1133,湖绿的,菲奥纳
cn_1134,湛蓝的,菲碧
cn_1135,湿漉漉的,菲蕾德翠卡
cn_1136,焦急万分的,萝伦
cn_1137,猫哭老鼠的,萝拉
cn_1138,猩红的,萝勃塔
cn_1139,短小精悍的,萝瑞尔
cn_1140,硬绷绷的,雅各
cn_1141,童叟无欺的,雅典娜
cn_1142,紫的,韩弗理
cn_1143,菩萨心肠的,鲁伯特
cn_1144,菩萨低眉的,鲁珀特
cn_1145,萌萌的,鲁宾
cn_1146,萎靡不振的,鲁道夫
cn_1147,著名的,塔伯
cn_1148,装疯卖傻的,塔玛拉
cn_1149,装聋作哑的,塔莎
cn_1150,装腔作势的,塞尔玛
cn_1151,装模作样的,塞尔达
cn_1152,装潢门面的,塞西
cn_1153,谦虚好学的,塞西尔
cn_1154,谦虚的,塞西莉亚
cn_1155,谦虚热情的,塞丽娜
cn_1156,谦虚谨慎的,塞琳娜
cn_1157,象家的,瑞加娜
cn_1158,赎罪的,瑞伊
cn_1159,跋山涉水的,瑞吉儿
cn_1160,锈红的,瑞利
cn_1161,锈绿的,瑞琪儿
cn_1162,隐晦曲折的,简
cn_1163,集思广益的,萨布丽娜
cn_1164,黄色的,萨瓦娜
cn_1165,黄灿的,萨米
cn_1166,黄的,萨妮
cn_1167,黄金的,萨曼莎
cn_1168,黄铜的,萨莉
cn_1169,黄黄的,萨琳娜
cn_1170,黄澄澄的,葛兰
cn_1171,黑化的,葛列格
cn_1172,黑的,葛列格里
cn_1173,黑黑的,葛里菲兹
cn_1174,黑暗的,葛佳丝塔芙
cn_1175,黑漆漆的,葛罗瑞亚
cn_1176,傲娇的,葛莉谢尔达
cn_1177,勤劳的,葛莱蒂丝
cn_1178,勤奋的,葛瑞丝
cn_1179,勤勤恳恳的,蒂凡妮
cn_1180,嗜杀成性的,蒂芙妮
cn_1181,塌实的,蒂娜
cn_1182,廉洁奉公的,蒂莫西
cn_1183,廉洁的,裘蒂丝
cn_1184,愁眉苦脸的,詹米
cn_1185,愁眉紧锁的,詹妮
cn_1186,意气风发的,詹妮弗
cn_1187,意在言外的,詹姆士
cn_1188,意志坚强的,詹姆斯
cn_1189,慎之又慎的,詹森
cn_1190,摇头晃脑的,赖安
cn_1191,新绿的,赖昂内尔
cn_1192,暗红的,路
cn_1193,暗赤的,路易士
cn_1194,暗室不欺的,路易丝
cn_1195,暗香盈袖的,路易莎
cn_1196,暗蓝的,路易斯
cn_1197,楚楚动人的,路德
cn_1198,楚楚的,道尔顿
cn_1199,滑稽的,道格拉斯
cn_1200,滔滔不绝的,锡得尼
cn_1201,满面春风的,锡德
cn_1202,满脸横肉的,雷
cn_1203,满腔热情的,雷尔夫
cn_1204,满腹经纶的,雷吉诺德
cn_1205,煞有介事的,雷克斯
cn_1206,痴心妄想的,雷纳德
cn_1207,禁忌的,雷欧
cn_1208,稚气未脱的,雷契尔
cn_1209,聘婷秀雅的,雷思丽
cn_1210,腼腆的,雷哲
cn_1211,落落大方的,雷蒙德
cn_1212,触目惊心的,鲍比
cn_1213,谨小慎微的,鲍伯
cn_1214,谨言慎行的,鲍曼
cn_1215,谨慎的,嘉比里拉
cn_1216,躲躲闪闪的,碧翠丝
cn_1217,遇事生风的,福罗拉
cn_1218,道貌岸然的,福特
cn_1219,遗憾的,翠丝特
cn_1220,随遇而安的,翠西
cn_1221,雷厉风飞的,蒙丽莎
cn_1222,雷厉风行的,蒙莉莎
cn_1223,鼠目寸光的,蓓姬
cn_1224,兢兢业业的,蓝伯特
cn_1225,慈眉善目的,蓝侬
cn_1226,慈悲为怀的,蓝斯
cn_1227,慢吞吞的,蓝道夫
cn_1228,慢的,蜜尔娜
cn_1229,慢慢的,蜜妮安
cn_1230,旗开得胜的,蜜拉贝儿
cn_1231,漆黑的,蜜莉恩
cn_1232,熊熊的,蜜雪儿
cn_1233,碧色的,蜜雪莉雅
cn_1234,碧青的,裴吉
cn_1235,碧绿的,谭雅坦尼娅
cn_1236,碧蓝的,赛门
cn_1237,稳健的,赛拉
cn_1238,端庄的,赛得里克
cn_1239,精力充沛的,赛维尔
cn_1240,精明的,赛薇亚拉
cn_1241,精悍的,赫尔曼
cn_1242,精神抖擞的,赫伯特
cn_1243,精神饱满的,赫达
cn_1244,精神焕发的,赫柏
cn_1245,精通某门学问的,赫莉
cn_1246,翠绿的,赫斯特
cn_1247,聚精会神的,赫蒂
cn_1248,蓝天的,德里克
cn_1249,蓝色的,德洛丽丝
cn_1250,蓝的,德维特
cn_1251,豪放的,摩尔根
cn_1252,豪爽的,摩西
cn_1253,貌赛西施的,摩里斯
cn_1254,酷的,摩帝马
cn_1255,酸溜溜的,摩根
cn_1256,锲而不舍的,摩顿
cn_1257,静悄悄的,摩菲
cn_1258,静静的,摩黛丝提
cn_1259,鲜红的,撒母耳
cn_1260,鲜蓝的,撒克逊
cn_1261,嘴甜心苦的,撒姆尔
cn_1262,嬉皮笑脸的,潘朵拉
cn_1263,德厚流光的,潘妮
cn_1264,慧质兰心的,潘娜洛普
cn_1265,撒娇的,潘蜜拉
cn_1266,暴走的,潼恩
cn_1267,暴戾恣睢的,墨菲
cn_1268,暴虐的,穆丽儿
cn_1269,暴跳如雷的,穆得
cn_1270,毅然决然的,穆得莉
cn_1271,潜在的,穆琳
cn_1272,瘦巴巴的,霍尔
cn_1273,聪明伶俐的,霍华德
cn_1274,聪明的,霍伯特
cn_1275,蓬头历齿的,霍根
cn_1276,蓬头垢面的,霍索恩
cn_1277,蔚蓝的,默西迪丝
cn_1278,蔼然可亲的,戴安娜
cn_1279,趣味盎然的,戴纳
cn_1280,镇定自若的,戴里克
cn_1281,靠不住的,戴芙
cn_1282,飘飘然的,戴茜
cn_1283,鹤发鸡皮的,戴维
cn_1284,鹤发童颜的,戴维德
cn_1285,鹤立鸡群的,璐易丝
cn_1286,凝神注视的,蕾西
cn_1287,憨态可掬的,蕾佳娜
cn_1288,憨直可爱的,蕾妮
cn_1289,憨厚的,蕾娜塔
cn_1290,憨厚淳朴的,薇薇安
cn_1291,懒洋洋的,黛儿
cn_1292,瞠目结舌的,黛比
cn_1293,融会贯通的,黛布拉
cn_1294,镜中的,黛安娜
cn_1295,镜花水月的,黛米
cn_1296,默默的,黛西
cn_1297,瞬时的,黛芙妮
cn_1298,糟糕的,黛娜
cn_1299,薄薄的,黛博拉
cn_1300,豁达大度的,黛碧
cn_1301,鞠躬尽瘁的,露比
cn_1302,瞻前顾后的,露丝
cn_1303,翻然悔悟的,露丝玛丽
cn_1304,藏青的,露西
cn_1305,襟怀坦白的,露西妮
cn_1306,靡颜腻理的,露西娅
cn_1307,蠢蠢的,露茜
cn_1308,爱吃的,露露
